country,year,group,income_share
Switzerland,1994,bottom50,0.2402
Switzerland,1994,top10,0.2983
Switzerland,1995,bottom50,0.2419
Switzerland,1995,top10,0.2983
Switzerland,1996,bottom50,0.2348
Switzerland,1996,top10,0.3138
Switzerland,1997,bottom50,0.2327
Switzerland,1997,top10,0.3197
Switzerland,1998,bottom50,0.23
Switzerland,1998,top10,0.3242
Switzerland,1999,bottom50,0.2323
Switzerland,1999,top10,0.3175
Switzerland,2000,bottom50,0.2284
Switzerland,2000,top10,0.3242
Switzerland,2001,bottom50,0.2295
Switzerland,2001,top10,0.3141
Switzerland,2002,bottom50,0.2328
Switzerland,2002,top10,0.3049
Switzerland,2003,bottom50,0.2252
Switzerland,2003,top10,0.3242
Switzerland,2004,bottom50,0.2241
Switzerland,2004,top10,0.3303
Switzerland,2005,bottom50,0.2188
Switzerland,2005,top10,0.3429
Switzerland,2006,bottom50,0.2178
Switzerland,2006,top10,0.3502
Switzerland,2007,bottom50,0.2222
Switzerland,2007,top10,0.3362
Switzerland,2008,bottom50,0.2314
Switzerland,2008,top10,0.3108
Switzerland,2009,bottom50,0.2291
Switzerland,2009,top10,0.3175
Switzerland,2010,bottom50,0.22
Switzerland,2010,top10,0.339
Switzerland,2011,bottom50,0.2219
Switzerland,2011,top10,0.3398
Switzerland,2012,bottom50,0.225
Switzerland,2012,top10,0.3299
Switzerland,2013,bottom50,0.2235
Switzerland,2013,top10,0.3311
Switzerland,2014,bottom50,0.2239
Switzerland,2014,top10,0.3289
Switzerland,2015,bottom50,0.225
Switzerland,2015,top10,0.3272
Switzerland,2016,bottom50,0.2235
Switzerland,2016,top10,0.3255
Switzerland,2017,bottom50,0.2259
Switzerland,2017,top10,0.3215
Switzerland,2018,bottom50,0.2312
Switzerland,2018,top10,0.3124
Switzerland,2019,bottom50,0.2331
Switzerland,2019,top10,0.3084
Switzerland,2020,bottom50,0.2331
Switzerland,2020,top10,0.3084
Switzerland,2021,bottom50,0.2324
Switzerland,2021,top10,0.3104
Switzerland,2022,bottom50,0.228
Switzerland,2022,top10,0.3201
Switzerland,2023,bottom50,0.2304
Switzerland,2023,top10,0.3146
Switzerland,2024,bottom50,0.2304
Switzerland,2024,top10,0.3146
United States,1980,bottom50,0.2008
United States,1980,top10,0.3384
United States,1981,bottom50,0.1969
United States,1981,top10,0.3433
United States,1982,bottom50,0.1916
United States,1982,top10,0.346
United States,1983,bottom50,0.1832
United States,1983,top10,0.3536
United States,1984,bottom50,0.1796
United States,1984,top10,0.3649
United States,1985,bottom50,0.1782
United States,1985,top10,0.3655
United States,1986,bottom50,0.1761
United States,1986,top10,0.3634
United States,1987,bottom50,0.1736
United States,1987,top10,0.3747
United States,1988,bottom50,0.1687
United States,1988,top10,0.3924
United States,1989,bottom50,0.1698
United States,1989,top10,0.3878
United States,1990,bottom50,0.1685
United States,1990,top10,0.3876
United States,1991,bottom50,0.1671
United States,1991,top10,0.3832
United States,1992,bottom50,0.16
United States,1992,top10,0.3941
United States,1993,bottom50,0.1611
United States,1993,top10,0.391
United States,1994,bottom50,0.1617
United States,1994,top10,0.3913
United States,1995,bottom50,0.1574
United States,1995,top10,0.399
United States,1996,bottom50,0.1547
United States,1996,top10,0.408
United States,1997,bottom50,0.1524
United States,1997,top10,0.4155
United States,1998,bottom50,0.1528
United States,1998,top10,0.4192
United States,1999,bottom50,0.1514
United States,1999,top10,0.4228
United States,2000,bottom50,0.1506
United States,2000,top10,0.4273
United States,2001,bottom50,0.1531
United States,2001,top10,0.4194
United States,2002,bottom50,0.154
United States,2002,top10,0.4149
United States,2003,bottom50,0.1509
United States,2003,top10,0.4164
United States,2004,bottom50,0.1478
United States,2004,top10,0.4242
United States,2005,bottom50,0.1432
United States,2005,top10,0.4359
United States,2006,bottom50,0.1408
United States,2006,top10,0.4429
United States,2007,bottom50,0.1431
United States,2007,top10,0.4404
United States,2008,bottom50,0.1429
United States,2008,top10,0.4356
United States,2009,bottom50,0.1425
United States,2009,top10,0.4245
United States,2010,bottom50,0.1387
United States,2010,top10,0.4381
United States,2011,bottom50,0.1356
United States,2011,top10,0.4426
United States,2012,bottom50,0.1315
United States,2012,top10,0.4559
United States,2013,bottom50,0.1345
