country;variable;percentile;year;value;age;pop;data_quality
DE;sptincj992;p0p50;1992;0.224;992;j;4
DE;sptincj992;p90p100;1992;0.3096;992;j;4
DE;sptincj992;p0p50;1993;0.2273;992;j;4
DE;sptincj992;p90p100;1993;0.3043;992;j;4
DE;sptincj992;p0p50;1994;0.229;992;j;4
DE;sptincj992;p90p100;1994;0.2997;992;j;4
DE;sptincj992;p0p50;1995;0.2309;992;j;4
DE;sptincj992;p90p100;1995;0.2979;992;j;4
DE;sptincj992;p0p50;1996;0.2248;992;j;4
DE;sptincj992;p90p100;1996;0.3064;992;j;4
DE;sptincj992;p0p50;1997;0.2201;992;j;4
DE;sptincj992;p90p100;1997;0.3154;992;j;4
DE;sptincj992;p0p50;1998;0.2151;992;j;4
DE;sptincj992;p90p100;1998;0.3217;992;j;4
DE;sptincj992;p0p50;1999;0.2155;992;j;4
DE;sptincj992;p90p100;1999;0.3213;992;j;4
DE;sptincj992;p0p50;2000;0.2162;992;j;4
DE;sptincj992;p90p100;2000;0.3229;992;j;4
DE;sptincj992;p0p50;2001;0.2153;992;j;4
DE;sptincj992;p90p100;2001;0.3239;992;j;4
DE;sptincj992;p0p50;2002;0.2096;992;j;4
DE;sptincj992;p90p100;2002;0.3241;992;j;4
DE;sptincj992;p0p50;2003;0.2149;992;j;4
DE;sptincj992;p90p100;2003;0.3165;992;j;4
DE;sptincj992;p0p50;2004;0.2105;992;j;4
DE;sptincj992;p90p100;2004;0.3289;992;j;4
DE;sptincj992;p0p50;2005;0.198;992;j;4
DE;sptincj992;p90p100;2005;0.3481;992;j;4
DE;sptincj992;p0p50;2006;0.1972;992;j;4
DE;sptincj992;p90p100;2006;0.3531;992;j;4
DE;sptincj992;p0p50;2007;0.191;992;j;4
DE;sptincj992;p90p100;2007;0.3691;992;j;4
DE;sptincj992;p0p50;2008;0.1909;992;j;4
DE;sptincj992;p90p100;2008;0.3676;992;j;4
DE;sptincj992;p0p50;2009;0.1911;992;j;4
DE;sptincj992;p90p100;2009;0.3725;992;j;4
DE;sptincj992;p0p50;2010;0.1931;992;j;4
DE;sptincj992;p90p100;2010;0.3669;992;j;4
DE;sptincj992;p0p50;2011;0.1908;992;j;4
DE;sptincj992;p90p100;2011;0.3679;992;j;4
DE;sptincj992;p0p50;2012;0.1897;992;j;4
DE;sptincj992;p90p100;2012;0.3632;992;j;4
DE;sptincj992;p0p50;2013;0.1827;992;j;4
DE;sptincj992;p90p100;2013;0.3776;992;j;4
DE;sptincj992;p0p50;2014;0.1814;992;j;3
DE;sptincj992;p90p100;2014;0.3826;992;j;3
DE;sptincj992;p0p50;2015;0.1824;992;j;3
DE;sptincj992;p90p100;2015;0.3817;992;j;3
DE;sptincj992;p0p50;2016;0.1843;992;j;3
DE;sptincj992;p90p100;2016;0.3811;992;j;3
DE;sptincj992;p0p50;2017;0.1858;992;j;3
DE;sptincj992;p90p100;2017;0.3781;992;j;3
DE;sptincj992;p0p50;2018;0.1885;992;j;3
DE;sptincj992;p90p100;2018;0.3737;992;j;3
DE;sptincj992;p0p50;2019;0.188;992;j;3
DE;sptincj992;p90p100;2019;0.3745;992;j;3
DE;sptincj992;p0p50;2020;0.188;992;j;3
DE;sptincj992;p90p100;2020;0.3745;992;j;3
DE;sptincj992;p0p50;2021;0.1882;992;j;3
DE;sptincj992;p90p100;2021;0.3742;992;j;3
DE;sptincj992;p0p50;2022;0.1878;992;j;3
DE;sptincj992;p90p100;2022;0.3764;992;j;3
DE;sptincj992;p0p50;2023;0.1877;992;j;3
DE;sptincj992;p90p100;2023;0.3765;992;j;3
DE;sptincj992;p0p50;2024;0.1877;992;j;1
DE;sptincj992;p90p100;2024;0.3765;992;j;1
CH;sptincj992;p0p50;1980;0.2373;992;j;2
CH;sptincj992;p90p100;1980;0.305;992;j;2
CH;sptincj992;p0p50;1981;0.2371;992;j;3
CH;sptincj992;p90p100;1981;0.3051;992;j;3
CH;sptincj992;p0p50;1982;0.237;992;j;4
CH;sptincj992;p90p100;1982;0.3072;992;j;4
CH;sptincj992;p0p50;1983;0.2365;992;j;4
CH;sptincj992;p90p100;1983;0.3092;992;j;4
CH;sptincj992;p0p50;1984;0.2345;992;j;4
CH;sptincj992;p90p100;1984;0.3112;992;j;4
CH;sptincj992;p0p50;1985;0.233;992;j;4
CH;sptincj992;p90p100;1985;0.3124;992;j;4
CH;sptincj992;p0p50;1986;0.2344;992;j;4
CH;sptincj992;p90p100;1986;0.3123;992;j;4
CH;sptincj992;p0p50;1987;0.2346;992;j;4
CH;sptincj992;p90p100;1987;0.3117;992;j;4
CH;sptincj992;p0p50;1988;0.2365;992;j;4
CH;sptincj992;p90p100;1988;0.3085;992;j;4
CH;sptincj992;p0p50;1989;0.2385;992;j;4
CH;sptincj992;p90p100;1989;0.305;992;j;4
CH;sptincj992;p0p50;1990;0.2376;992;j;4
CH;sptincj992;p90p100;1990;0.3029;992;j;4
CH;sptincj992;p0p50;1991;0.2398;992;j;4
CH;sptincj992;p90p100;1991;0.3016;992;j;4
CH;sptincj992;p0p50;1992;0.2386;992;j;4
CH;sptincj992;p90p100;1992;0.2994;992;j;4
CH;sptincj992;p0p50;1993;0.2379;992;j;4
CH;sptincj992;p90p100;1993;0.2978;992;j;4
CH;sptincj992;p0p50;1994;0.2402;992;j;4
CH;sptincj992;p90p100;1994;0.2983;992;j;4
CH;sptincj992;p0p50;1995;0.2419;992;j;4
CH;sptincj992;p90p100;1995;0.2983;992;j;4
CH;sptincj992;p0p50;1996;0.2348;992;j;4
CH;sptincj992;p90p100;1996;0.3138;992;j;4
CH;sptincj992;p0p50;1997;0.2327;992;j;4
CH;sptincj992;p90p100;1997;0.3197;992;j;4
CH;sptincj992;p0p50;1998;0.23;992;j;4
CH;sptincj992;p90p100;1998;0.3242;992;j;4
CH;sptincj992;p0p50;1999;0.2323;992;j;4
CH;sptincj992;p90p100;1999;0.3175;992;j;4
CH;sptincj992;p0p50;2000;0.2284;992;j;4
CH;sptincj992;p90p100;2000;0.3242;992;j;4
CH;sptincj992;p0p50;2001;0.2295;992;j;4
CH;sptincj992;p90p100;2001;0.3141;992;j;4
CH;sptincj992;p0p50;2002;0.2328;992;j;4
CH;sptincj992;p90p100;2002;0.3049;992;j;4
CH;sptincj992;p0p50;2003;0.2252;992;j;4
CH;sptincj992;p90p100;2003;0.3242;992;j;4
CH;sptincj992;p0p50;2004;0.2241;992;j;4
CH;sptincj992;p90p100;2004;0.3303;992;j;4
CH;sptincj992;p0p50;2005;0.2188;992;j;4
CH;sptincj992;p90p100;2005;0.3429;992;j;4
CH;sptincj992;p0p50;2006;0.2178;992;j;4
CH;sptincj992;p90p100;2006;0.3502;992;j;4
CH;sptincj992;p0p50;2007;0.2222;992;j;4
CH;sptincj992;p90p100;2007;0.3362;992;j;4
CH;sptincj992;p0p50;2008;0.2314;992;j;4
CH;sptincj992;p90p100;2008;0.3108;992;j;4
CH;sptincj992;p0p50;2009;0.2291;992;j;4
CH;sptincj992;p90p100;2009;0.3175;992;j;4
CH;sptincj992;p0p50;2010;0.22;992;j;4
CH;sptincj992;p90p100;2010;0.339;992;j;4
CH;sptincj992;p0p50;2011;0.2219;992;j;4
CH;sptincj992;p90p100;2011;0.3398;992;j;4
CH;sptincj992;p0p50;2012;0.225;992;j;4
CH;sptincj992;p90p100;2012;0.3299;992;j;4
CH;sptincj992;p0p50;2013;0.2235;992;j;4
CH;sptincj992;p90p100;2013;0.3311;992;j;4
CH;sptincj992;p0p50;2014;0.2239;992;j;4
CH;sptincj992;p90p100;2014;0.3289;992;j;4
CH;sptincj992;p0p50;2015;0.225;992;j;3
CH;sptincj992;p90p100;2015;0.3272;992;j;3
CH;sptincj992;p0p50;2016;0.2235;992;j;3
CH;sptincj992;p90p100;2016;0.3255;992;j;3
CH;sptincj992;p0p50;2017;0.2259;992;j;3
CH;sptincj992;p90p100;2017;0.3215;992;j;3
CH;sptincj992;p0p50;2018;0.2312;992;j;3
CH;sptincj992;p90p100;2018;0.3124;992;j;3
CH;sptincj992;p0p50;2019;0.2331;992;j;3
CH;sptincj992;p90p100;2019;0.3084;992;j;3
CH;sptincj992;p0p50;2020;0.2331;992;j;3
CH;sptincj992;p90p100;2020;0.3084;992;j;3
CH;sptincj992;p0p50;2021;0.2324;992;j;3
CH;sptincj992;p90p100;2021;0.3104;992;j;3
CH;sptincj992;p0p50;2022;0.228;992;j;3
CH;sptincj992;p90p100;2022;0.3201;992;j;3
CH;sptincj992;p0p50;2023;0.2304;992;j;1
CH;sptincj992;p90p100;2023;0.3146;992;j;1
CH;sptincj992;p0p50;2024;0.2304;992;j;1
CH;sptincj992;p90p100;2024;0.3146;992;j;1
US;sptincj992;p0p50;1980;0.2008;992;j;5
US;sptincj992;p90p100;1980;0.3384;992;j;5
US;sptincj992;p0p50;1981;0.1969;992;j;5
US;sptincj992;p90p100;1981;0.3433;992;j;5
US;sptincj992;p0p50;1982;0.1916;992;j;5
US;sptincj992;p90p100;1982;0.346;992;j;5
US;sptincj992;p0p50;1983;0.1832;992;j;5
US;sptincj992;p90p100;1983;0.3536;992;j;5
US;sptincj992;p0p50;1984;0.1796;992;j;5
US;sptincj992;p90p100;1984;0.3649;992;j;5
US;sptincj992;p0p50;1985;0.1782;992;j;5
US;sptincj992;p90p100;1985;0.3655;992;j;5
US;sptincj992;p0p50;1986;0.1761;992;j;5
US;sptincj992;p90p100;1986;0.3634;992;j;5
US;sptincj992;p0p50;1987;0.1736;992;j;5
US;sptincj992;p90p100;1987;0.3747;992;j;5
US;sptincj992;p0p50;1988;0.1687;992;j;5
US;sptincj992;p90p100;1988;0.3924;992;j;5
US;sptincj992;p0p50;1989;0.1698;992;j;5
US;sptincj992;p90p100;1989;0.3878;992;j;5
US;sptincj992;p0p50;1990;0.1685;992;j;5
US;sptincj992;p90p100;1990;0.3876;992;j;5
US;sptincj992;p0p50;1991;0.1671;992;j;5
US;sptincj992;p90p100;1991;0.3832;992;j;5
US;sptincj992;p0p50;1992;0.16;992;j;5
US;sptincj992;p90p100;1992;0.3941;992;j;5
US;sptincj992;p0p50;1993;0.1611;992;j;5
US;sptincj992;p90p100;1993;0.391;992;j;5
US;sptincj992;p0p50;1994;0.1617;992;j;5
US;sptincj992;p90p100;1994;0.3913;992;j;5
US;sptincj992;p0p50;1995;0.1574;992;j;5
US;sptincj992;p90p100;1995;0.399;992;j;5
US;sptincj992;p0p50;1996;0.1547;992;j;5
US;sptincj992;p90p100;1996;0.408;992;j;5
US;sptincj992;p0p50;1997;0.1524;992;j;5
US;sptincj992;p90p100;1997;0.4155;992;j;5
US;sptincj992;p0p50;1998;0.1528;992;j;5
US;sptincj992;p90p100;1998;0.4192;992;j;5
US;sptincj992;p0p50;1999;0.1514;992;j;5
US;sptincj992;p90p100;1999;0.4228;992;j;5
US;sptincj992;p0p50;2000;0.1506;992;j;5
US;sptincj992;p90p100;2000;0.4273;992;j;5
US;sptincj992;p0p50;2001;0.1531;992;j;5
US;sptincj992;p90p100;2001;0.4194;992;j;5
US;sptincj992;p0p50;2002;0.154;992;j;5
US;sptincj992;p90p100;2002;0.4149;992;j;5
US;sptincj992;p0p50;2003;0.1509;992;j;5
US;sptincj992;p90p100;2003;0.4164;992;j;5
US;sptincj992;p0p50;2004;0.1478;992;j;5
US;sptincj992;p90p100;2004;0.4242;992;j;5
US;sptincj992;p0p50;2005;0.1432;992;j;5
US;sptincj992;p90p100;2005;0.4359;992;j;5
US;sptincj992;p0p50;2006;0.1408;992;j;5
US;sptincj992;p90p100;2006;0.4429;992;j;5
US;sptincj992;p0p50;2007;0.1431;992;j;5
US;sptincj992;p90p100;2007;0.4404;992;j;5
US;sptincj992;p0p50;2008;0.1429;992;j;5
US;sptincj992;p90p100;2008;0.4356;992;j;5
US;sptincj992;p0p50;2009;0.1425;992;j;5
US;sptincj992;p90p100;2009;0.4245;992;j;5
